grb GRBNAME met trigtime ra dec err ts real LLE_sig theta zenith source_events transient_events source_events_1GeV transient_events_1GeV max_photon_energy max_photon_time photon_flux photon_flux_err energy_flux energy_flux_err LAT_T90 LLE_T90 GBM_T90 LAT_GCN z afterglow BAT_det GCNNAME RA DEC ERR SEP2CLOSEST THETA ZENITH LLE IRFS TSTART_SU TSTOP_SU TS_SU Flux_SU Flux_SU_err Index_SU Index_SU_err TSTART_BEST TSTOP_BEST TS_BEST Flux_BEST Flux_BEST_err Index_BEST Index_BEST_err TSTART_AG TSTOP_AG TS_AG Flux_AG Flux_AG_err Index_AG Index_AG_err
GRB090217206 ---------- 256539404.56 "2009-02-17 04:56:42.558" 205.06 -8.36 0.245 177.5 YES 5.01 34.4 46.9 16.0 20.0 0.0 0.0 14.8 14.8 4.77e-05 1.1e-05 2.83e-08 1.17e-08 0.0 0.0 0.0 0.0 0.0 --- N 150510139 16.41 4.9 0.22 2.63 56.0 10.1 7.2 P8_TRANSIENT010E 0.0 10000.0 52.6 5.99e-06 2.06e-06 -1.9 0.26 0.0 3000.0 52.6 5.99e-06 2.06e-06 -1.9 0.34 1.908 100.912 33.8 2.29e-05 1.02e-05 -1.89 0.34
GRB090227310 ---------- 257412359.0 "2009-02-27 07:25:57.003" 4.56 -44.62 0.2315 35.8 YES 3.0 21.1 45.0 7.0 10.0 1.0 1.0 2.9 2.9 3.1e-06 1.29e-06 2.86e-09 2.2e-09 0.0 0.0 0.0 0.0 0.0 --- N 150422703 211.54 -16.02 0.48 5.41 60.9 19.5 2.3 P8_TRANSIENT010E 0.0 4000.0 20.8 1.42e-06 5.33e-07 -2.84 0.5 0.0 1000.0 22.3 2.19e-06 8.46e-07 -2.75 0.5 18.977 1762.471 20.8 1.47e-06 5.53e-07 -2.84 0.5
GRB090228204 ---------- 257489602.91 "2009-02-28 04:53:20.911" 98.59 -28.79 0.16 44.5 YES 3.48 24.5 57.0 5.0 6.0 1.0 1.0 2.1 2.1 9.83e-05 4.32e-05 2.04e-07 2.19e-07 0.0 0.0 0.0 0.0 0.0 --- N 150403913 311.75 -62.48 0.16 1.93 55.2 104.7 1.9 P8_TRANSIENT010E 0.0 10000.0 54.8 5.21e-07 1.78e-07 -1.79 0.22 0.0 3000.0 62.0 1.13e-06 3.61e-07 -1.83 0.22 70.525 1705.029 60.0 1.69e-06 5.61e-07 -1.76 0.22
GRB090323002 GRB090323 259459364.63 "2009-03-23 00:02:42.627" 190.7646 17.0724 0.0623 424.2 YES 4.74 57.2 67.0 51.0 68.0 8.0 8.0 485.2 485.2 2.68e-05 3.41e-06 1.51e-08 4.09e-09 0.0 0.0 0.0 0.0 3.57 XOR N 150314205 126.21 63.54 0.26 1.27 47.7 92.1 2.4 P8_TRANSIENT010E 0.0 4000.0 26.3 8.38e-07 3.03e-07 -2.31 0.33 0.0 300.0 29.8 1.17e-05 3.25e-06 -2.5 0.33 0.099 3956.584 26.8 8.6e-07 3.08e-07 -2.32 0.33
GRB090328401 GRB090328 259925808.51 "2009-03-28 09:36:46.511" 90.6856 -41.9627 0.0874 372.9 YES 9.91 64.4 70.9 92.0 118.0 17.0 17.0 1638.1 1638.1 5.47e-06 8.32e-07 4.34e-09 1.1e-09 0.0 0.0 0.0 0.0 0.736 XOR N 150210935 112.09 13.33 0.17 1.29 53.8 9.7 13.7 P8_TRANSIENT100E 0.0 10000.0 33.2 1.84e-06 7.13e-07 -2.09 0.3 0.0 10.0 133.9 0.000476 0.000115 -2.55 0.3 0.713 1680.32 47.4 6.51e-06 2.1e-06 -2.23 0.3
GRB090424592 ---------- 262275130.66 "2009-04-24 14:12:08.665" 0.0 0.0 0.0 42.5 YES 1.91 70.6 46.6 4.0 5.0 0.0 0.0 33.7 33.7 0.000201 0.0 1.76e-07 0.0 0.0 0.0 0.0 0.0 0.0 --- N 150202999 86.28 59.04 0.23 0.87 17.3 66.9 11.3 P8_TRANSIENT010E 0.0 10000.0 22.9 1.23e-06 5.29e-07 -2.13 0.38 7.09 1566.33 25.4 1.53e-06 6.32e-07 -2.15 0.38 7.09 1566.33 25.4 1.53e-06 6.32e-07 -2.15 0.38
GRB090427977 ---------- 262567593.0 "2009-04-27 23:26:31.000" 235.86 -14.05 0.0788 39.1 YES 0.0 71.1 75.1 4.0 4.0 2.0 2.0 436.6 436.6 5e-06 2.74e-06 4.55e-08 4.49e-08 0.0 0.0 0.0 0.0 0.0 --- N 150118409 240.24 -35.92 0.39 4.54 66.3 93.2 3.0 P8_TRANSIENT020E 0.0 500.0 13.4 8.06e-05 0.0 -2.52 0.49 0.0 1000.0 13.4 8.06e-05 0.0 -2.52 0.5 3.678 141.156 13.0 9.3e-05 0.0 -2.5 0.5
GRB090510016 GRB090510 263607781.97 "2009-05-10 00:22:59.971" 333.5677 -26.6245 0.0299 2838.1 YES 30.4 13.6 52.3 171.0 216.0 33.0 34.0 2.2 2.2 0.000379 2.58e-05 3.74e-07 6.45e-08 0.0 0.0 0.0 0.0 0.903 XO Y 141222298 177.99 -57.32 0.05 3.75 45.9 93.5 4.7 P8_TRANSIENT010E 0.0 10000.0 74.4 1.19e-06 4.27e-07 -1.61 0.2 0.513 405.383 111.7 1.56e-05 4.28e-06 -1.73 0.17 0.513 405.383 111.7 1.56e-05 4.28e-06 -1.73 0.17
GRB090626189 ---------- 267683530.88 "2009-06-26 04:32:08.880" 170.1502 -33.5414 0.2177 163.1 YES 6.24 18.3 10.2 33.0 37.0 6.0 6.0 949.3 949.3 1.02e-05 2.34e-06 9.07e-09 3.66e-09 0.0 0.0 0.0 0.0 0.0 --- N 141221897 99.12 -66.91 0.23 0.82 39.0 84.7 3.3 P8_TRANSIENT020E 0.0 100.0 30.2 1.42e-05 5.35e-06 -2.0 0.35 18.977 58.46 30.6 2.7e-05 1.14e-05 -1.85 0.36 18.977 58.46 30.6 2.7e-05 1.14e-05 -1.85 0.36
GRB090720710 ---------- 269802178.9 "2009-07-20 17:02:56.905" 0.0 0.0 0.0 35.9 YES 3.43 56.2 94.2 5.0 5.0 1.0 1.0 67.9 67.9 4.97e-05 0.0 4.37e-08 0.0 0.0 0.0 0.0 0.0 0.0 --- N 141207800 159.86 3.87 0.08 2.34 60.6 35.0 7.7 P8_TRANSIENT020E 0.0 10000.0 156.3 4.06e-06 7.58e-07 -1.82 0.13 0.0 1000.0 179.6 1.02e-05 1.71e-06 -1.78 0.12 1.374 2092.49 176.6 8.72e-06 1.49e-06 -1.8 0.12
