 # GCNNAME	 RA DEC ERR SEP2CLOSEST	 THETA ZENITH	 LLE	 IRFS	 LIKE_SU TSTART_SU TSTOP_SU TS_SU	 Flux_SU	 Index_SU 	 LIKE_BEST TSTART_BEST TSTOP_BEST TS_BEST	 Flux_BEST Index_BEST 	 LIKE_AG TSTART_AG TSTOP_AG TS_AG	 Flux_AG 	 Index_AG 
  150210935  	  112.09  13.33  1.7e-01 1.29	  53.8 9.7 	  13.7   	  P8_TRANSIENT100E               	      0.000  10000.000 33.2 	  1.84e-06   7.13e-07 	 -2.09   0.30 	      0.000     10.000 133.9 	  4.76e-04   1.15e-04 	 -2.55   0.34 	        0.713   1680.320 47.4 	  6.51e-06   2.10e-06 	 -2.23   0.30 
  150202999  	   86.28  59.04  2.3e-01 0.87	  17.3 66.9 	  11.3   	  P8_TRANSIENT010E               	      0.000  10000.000 22.9 	  1.23e-06   5.29e-07 	 -2.13   0.38 	      7.090   1566.330 25.4 	  1.53e-06   6.32e-07 	 -2.15   0.38 	        7.090   1566.330 25.4 	  1.53e-06   6.32e-07 	 -2.15   0.38 
  150118409  	  240.24 -35.92  3.9e-01 4.54	  66.3 93.2 	  3.0   	  P8_TRANSIENT020E               	      0.000    500.000 13.4 	  8.06e-05   0.00e+00 	 -2.52   0.49 	      0.000   1000.000 13.4 	  8.06e-05   0.00e+00 	 -2.52   0.49 	        3.678    141.156 13.0 	  9.30e-05   0.00e+00 	 -2.50   0.50 
  141222298  	  177.99 -57.32  5.0e-02 3.75	  45.9 93.5 	  4.7   	  P8_TRANSIENT010E               	      0.000  10000.000 74.4 	  1.19e-06   4.27e-07 	 -1.61   0.20 	      0.513    405.383 111.7 	  1.56e-05   4.28e-06 	 -1.73   0.17 	        0.513    405.383 111.7 	  1.56e-05   4.28e-06 	 -1.73   0.17 
  141221897  	   99.12 -66.91  2.3e-01 0.82	  39.0 84.7 	  3.3   	  P8_TRANSIENT020E               	      0.000    100.000 30.2 	  1.42e-05   5.35e-06 	 -2.00   0.35 	     18.977     58.460 30.6 	  2.70e-05   1.14e-05 	 -1.85   0.36 	       18.977     58.460 30.6 	  2.70e-05   1.14e-05 	 -1.85   0.36 
  141207800  	  159.86   3.87  8.0e-02 2.34	  60.6 35.0 	  7.7   	  P8_TRANSIENT020E               	      0.000  10000.000 156.3 	  4.06e-06   7.58e-07 	 -1.82   0.13 	      0.000   1000.000 179.6 	  1.02e-05   1.71e-06 	 -1.78   0.12 	        1.374   2092.490 176.6 	  8.72e-06   1.49e-06 	 -1.80   0.12 
  141113346  	  183.92  77.32  4.8e-01 3.27	  51.0 86.2 	  3.5   	  P8_TRANSIENT020E               	      0.000    100.000 25.8 	  1.55e-05   6.89e-06 	 -2.16   0.41 	      0.000    100.000 25.8 	  1.55e-05   6.89e-06 	 -2.16   0.41 	        0.072      3.454 22.9 	  4.66e-04   1.94e-04 	 -2.18   0.45 
  141102536  	  209.08 -46.69  4.4e-01 2.54	  52.3 53.5 	  1.7   	  P8_TRANSIENT020E               	      0.000   4000.000 9.1 	  2.55e-06   0.00e+00 	 -2.62   0.56 	      0.000    100.000 26.3 	  2.87e-05   1.10e-05 	 -2.46   0.45 	        1.908   1023.340 11.7 	  3.66e-06   0.00e+00 	 -2.46   0.47 
  141028455  	  322.78  -0.64  1.9e-01 1.44	  32.0 48.9 	  19.8   	  P8_TRANSIENT010E               	      0.000  10000.000 88.9 	  2.27e-06   4.32e-07 	 -2.62   0.25 	      9.844    500.510 120.1 	  2.05e-05   3.61e-06 	 -2.52   0.24 	        9.844    500.510 120.1 	  2.05e-05   3.61e-06 	 -2.52   0.24 
  141022087  	  128.12 -72.66  3.3e-01 3.16	  111.1 102.2 	  0.0   	  P8_TRANSIENT010E               	      0.000    500.000 17.9 	  2.05e-05   0.00e+00 	 -2.85   0.63 	      0.000   1000.000 18.0 	  2.05e-05   0.00e+00 	 -2.86   0.63 	      188.772    325.107 17.4 	  3.15e-05   0.00e+00 	 -2.69   0.62 
  141012773  	  289.93 -53.05  1.8e-01 3.30	  47.3 94.8 	  2.6   	  P8_TRANSIENT010E               	      0.000  10000.000 54.3 	  1.59e-05   5.57e-06 	 -2.27   0.29 	      2.649    107.033 69.7 	  4.59e-05   1.37e-05 	 -2.00   0.25 	        2.649    107.033 69.7 	  4.59e-05   1.37e-05 	 -2.00   0.25 
  140928437  	   43.76 -55.92  7.0e-02 4.24	  110.0 111.3 	  0.0   	  P8_TRANSIENT010E               	      0.000  10000.000 57.7 	  5.46e-07   2.78e-07 	 -1.18   0.27 	   1352.465   3138.739 58.0 	  5.75e-07   2.94e-07 	 -1.19   0.27 	     1352.465   3138.739 58.0 	  5.75e-07   2.94e-07 	 -1.19   0.27 
  140810782  	  118.93  27.40  5.0e-02 2.57	  123.1 88.8 	  0.0   	  P8_TRANSIENT010E               	      0.000  10000.000 66.1 	  4.42e-07   1.65e-07 	 -1.64   0.23 	      0.000   3000.000 80.4 	  1.14e-06   3.80e-07 	 -1.66   0.21 	      363.916  20174.510 78.7 	  3.18e-07   1.11e-07 	 -1.55   0.20 
  140729026  	  193.91  15.43  1.9e-01 4.79	  25.6 40.0 	  2.4   	  P8_TRANSIENT020E               	      0.000  10000.000 46.4 	  3.73e-06   1.26e-06 	 -2.10   0.30 	      0.000    100.000 58.8 	  1.76e-05   5.28e-06 	 -1.81   0.24 	        3.678   1112.375 47.5 	  3.94e-06   1.31e-06 	 -2.03   0.29 
  140724533  	  326.66  -8.65  2.9e-01 3.49	  94.7 104.4 	  0.0   	  P8_TRANSIENT010E               	      0.000  10000.000 23.6 	  1.69e-06   6.85e-07 	 -2.31   0.36 	      0.000   3000.000 10.1 	  2.12e-06   0.00e+00 	 -1.92   0.65 	     7911.662  43331.621 4.6 	  9.87e-07   0.00e+00 	 -2.51   0.56 
  140723067  	  210.66  -3.70  1.9e-01 4.09	  54.5 38.3 	  4.4   	  P8_TRANSIENT010E               	      0.000  10000.000 59.9 	  3.61e-06   9.28e-07 	 -2.17   0.21 	      0.000    300.000 79.5 	  2.70e-05   5.15e-06 	 -2.08   0.18 	        0.513   1012.355 69.6 	  8.31e-06   1.95e-06 	 -2.10   0.19 
  140619475  	  132.67  -9.66  5.0e-02 2.08	  38.5 25.1 	  6.2   	  P8_TRANSIENT100E               	      0.000  10000.000 55.0 	  3.44e-06   1.15e-06 	 -2.05   0.25 	      0.192      3.193 283.5 	  1.47e-03   2.99e-04 	 -1.98   0.19 	        0.192      3.193 283.5 	  1.47e-03   2.99e-04 	 -1.98   0.19 
